Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.8778638753862011,0.8825920969992662,((x0 + (x0 * x0)) / (cos(x0)**(x0))),50,00:01:19.69,False
1,0.9289781505382524,0.8816033888341521,((sin(x0) * (x0 - ((x0 * x0)**(x0)))) + ((x0 + x0) + x0)),50,00:01:05.78,False
2,0.7295329842602192,0.6355017749540234,(x0 + (x0 * x0)),50,00:01:02.28,False
3,0.9503608802034988,0.9446594618497571,((x0 / (0.584**(x0))) + (x0 + (x0 * x0))),50,00:01:01.65,False
4,0.9194082613681174,0.864158787221666,((x0 * x0) + (x0 + x0)),50,00:01:05.70,False
5,0.7706152700173761,0.7386245779343854,((x0 + x0) * (0.497 + x0)),50,00:01:19.45,False
6,0.9041183954451236,0.8565466020094414,(x0 / (0.327**(x0))),50,00:01:31.82,False
7,0.8334668810335288,0.7219039674135761,(((x0 * x0) + x0) * (cos(cos(x0))**((0.147 / -0.192)))),50,00:01:03.31,False
8,0.9608318187334792,0.9399989375546092,(x0 / (0.264**(x0))),50,00:01:01.13,False
9,0.9200671379255155,0.861691729966084,(((x0 - -0.972) * x0) + x0),50,00:01:20.89,False
10,0.9654178830355349,0.9490291613713462,(sin(x0) / (sin(sin(0.218))**(x0))),50,00:01:08.99,False
11,0.6319353236434221,0.44670684018179607,(x0 / cos((cos(x0) / (((x0 * x0)**(x0)) / x0)))),50,00:01:10.97,False
12,0.7198622702264228,0.6101758054795487,(x0 + sin((x0 * x0))),50,00:01:11.75,False
13,0.6251084090820748,0.5147529471005903,(x0 - (log(cos(x0)) * cos(log(cos(x0))))),50,00:01:18.78,False
14,0.971471533192574,0.9800733701703687,(x0 / (0.204**((x0 / (x0**((x0 * (x0 - x0)))))))),50,00:01:12.34,False
15,0.6810309853120864,0.4779872402649623,(x0 / ((x0 * sin(x0))**(x0))),50,00:01:12.14,False
16,0.6367728335146505,0.4184968547006641,(x0 / ((x0 * x0)**(x0))),50,00:01:20.67,False
17,0.6608038035534317,0.5343541286074032,(x0 * ((sin(cos(x0))**(x0)) + x0)),50,00:01:25.91,False
18,0.9170625548040834,0.8744033255698088,(x0 / (0.314**(x0))),50,00:01:09.84,False
19,0.8495882544290332,0.7396414625851566,(((x0 * x0) - (x0 * -0.35)) + sin((x0 + x0))),50,00:01:46.72,False
20,0.9445141473772122,0.9078426075196413,(x0 + ((x0**((x0 / x0))) - ((x0 * x0) / log(0.462)))),50,00:01:06.97,False
21,0.7700930369398364,0.6817688064269986,(((x0 + x0) + (x0 * x0)) - sin(x0)),50,00:01:14.45,False
22,0.8298939765701101,0.7316780692669581,((x0 * x0) + (x0 / 0.775)),50,00:01:09.33,False
23,0.9226038731886739,0.8537129241119642,((((x0 * x0)**(0.755)) + sin(x0)) + x0),50,00:01:21.15,False
24,0.7295329842602192,0.6355017749540234,((x0 * x0) + x0),50,00:01:07.80,False
25,0.9712825324141457,0.9122139740207821,(sin((sin((sin(x0) / cos(x0))) / (sin(cos(x0)) + ((x0 + x0) - (x0 + x0))))) - (cos(x0) - ((((x0 + x0) / (x0 + x0)) - ((x0 * x0) * (x0 * -0.956))) + sin(((x0 * x0) + (x0 - x0)))))),50,00:01:17.92,False
26,0.6645592477366611,0.5563228608181272,(x0 / (0.558**(sin(x0)))),50,00:01:27.97,False
27,0.7295329842602192,0.6355017749540234,(x0 + (x0 * x0)),50,00:01:25.18,False
28,0.8214582684429159,0.7563832281121847,((x0 / (0.507**(x0))) - log(cos(x0))),50,00:01:26.47,False
29,0.6672413906867802,0.5346555669107096,(x0 + sin(((x0 * cos(x0)) * x0))),50,00:01:28.56,False
