Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),50,00:00:13.82,False
1,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:16.93,False
2,0.9702153233671373,0.9452447987694935,(x0 + ((x0 + cos(x0)) * x0)),50,00:00:11.91,False
3,0.9699204358149053,0.9569551348303112,(((cos(x0) * (x0 * x0)) + sin(x0)) + x0),50,00:00:18.36,False
4,0.9267531796838202,0.945396387331329,(sin((x0 * x0)) + sin((x0 + x0))),50,00:00:17.64,False
5,0.934325404509397,0.8656765755013893,(x0 + ((x0 * x0) + x0)),50,00:00:18.43,False
6,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:13.66,False
7,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:14.69,False
8,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:14.64,False
9,0.9878277536643705,0.9867949680486657,(sin((x0 + x0)) / sin((cos(-0.891)**(x0)))),50,00:00:18.26,False
10,0.924369067377762,0.8940268159150404,((x0 + x0) / (sin(0.825)**(x0))),50,00:00:13.79,False
11,0.920022025634075,0.9385897848594281,((x0 + 0.184) + sin(x0)),50,00:00:12.29,False
12,0.934325404509397,0.8656765755013893,(((x0 * x0) + x0) + x0),50,00:00:17.37,False
13,0.9091653613473236,0.8824681250412776,(((x0 + x0) * cos(x0)) * ((0.665**(x0))**((x0 - 0.603)))),50,00:00:14.75,False
14,0.9083481647285074,0.8710032359913282,((x0 - (x0 / sin(log((x0 - x0))))) / (0.69**(sin(x0)))),50,00:00:11.27,False
15,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:16.19,False
16,0.9003586917303036,0.8676549561147988,sin((x0 - (log(0.906) - x0))),50,00:00:21.74,False
17,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:14.34,False
18,0.9096533341878136,0.9331563582814663,(sin((x0 + x0)) + (x0 * x0)),50,00:00:19.72,False
19,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:17.56,False
20,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:15.20,False
21,0.934325404509397,0.8656765755013893,(((x0 * x0) + (x0 + x0)) * ((x0 * x0) / (x0 * x0))),50,00:00:15.06,False
22,0.9209487913757101,0.905433542609853,((x0 + x0) / (0.775**(x0))),50,00:00:16.46,False
23,0.934325404509397,0.8656765755013893,(((x0 + x0)**((x0 / x0))) + (x0 * x0)),50,00:00:15.90,False
24,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:14.67,False
25,0.9455425237462423,0.926667777500006,(((cos(x0) * (x0 * x0)) + x0) + x0),50,00:00:11.96,False
26,0.8977809199731408,0.8655559419214632,sin((x0 / (sin(0.325) / cos(sin((0.974**(0.139))))))),50,00:00:15.20,False
27,0.8972174173818681,0.869267767671368,sin((x0 + x0)),50,00:00:16.30,False
28,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),50,00:00:13.25,False
29,0.934325404509397,0.8656765755013893,(x0 + ((x0 * x0) + x0)),50,00:00:11.83,False
