Iy,PF,e,dIf,If
3,0,66,0,34
3,0,68,0,32
3,0,7,0,3
3,0,72,0,28
3,0,74,0,26
3,0,76,0,24
3,0,78,0,22
3,0,8,0,2
3,0,82,0,18
3,0,84,0,16
3,0,86,0,14
3,0,88,0,12
3,0,9,0,1
3,0,92,0,8
3,0,94,0,6
3,0,96,0,4
3,0,98,0,2
3,1,0,0,37
3,1,0,66,0
3,1,0,68,0
3,1,0,7,0
3,1,0,72,0
3,1,0,74,0
3,1,0,76,0
3,1,0,78,0
3,1,0,8,0
3,1,0,82,0
3,1,0,84,0
3,1,0,86,0
3,1,0,88,0
3,1,0,9,0
3,1,0,92,0
3,1,0,94,0
3,1,0,96,0
3,1,0,98,0
3,1,1,0,0
3,2,0,66,0
3,2,0,68,0
3,2,0,7,0
3,2,0,72,0
3,2,0,74,0
3,2,0,76,0
3,2,0,78,0
3,2,0,8,0
3,2,0,82,0
3,2,0,84,0
3,2,0,86,0
3,2,0,88,0
3,2,0,9,0
3,2,0,92,0
3,2,0,94,0
3,2,0,96,0
3,2,0,98,0
3,2,1,0,0
3,3,0,66,0
3,3,0,68,0
3,3,0,7,0
3,3,0,72,0
3,3,0,74,0
3,3,0,76,0
3,3,0,78,0
3,3,0,8,0
3,3,0,82,0
3,3,0,84,0
3,3,0,86,0
3,3,0,88,0
3,3,0,9,0
3,3,0,92,0
3,3,0,94,0
3,3,0,96,0
3,3,0,98,0
3,3,1,0,0
3,4,0,66,0
3,4,0,68,0
3,4,0,7,0
3,4,0,72,0
3,4,0,74,0
3,4,0,76,0
3,4,0,78,0
3,4,0,8,0
3,4,0,82,0
3,4,0,84,0
3,4,0,86,0
3,4,0,88,0
3,4,0,9,0
3,4,0,92,0
3,4,0,94,0
3,4,0,96,0
3,4,0,98,0
3,4,1,0,0
3,5,0,66,0
3,5,0,68,0
3,5,0,7,0
3,5,0,72,0
3,5,0,74,0
3,5,0,76,0
3,5,0,78,0
3,5,0,8,0
3,5,0,82,0
3,5,0,84,0
3,5,0,86,0
3,5,0,88,0
3,5,0,9,0
3,5,0,92,0
3,5,0,94,0
3,5,0,96,0
3,5,0,98,0
3,5,1,0,0
3,6,0,66,0
3,6,0,68,0
3,8,0,92,0
3,8,0,94,0
3,8,0,96,0
3,8,0,98,0
3,8,1,0,0
3,7,0,92,0
3,7,0,94,0
3,6,0,92,0
3,7,0,96,0
3,7,0,98,0
3,7,1,0,0
3,6,0,94,0
3,6,0,96,0
3,6,0,98,0
3,6,1,0,0
3,8,0,86,0
3,7,0,86,0
3,8,0,88,0
3,6,0,86,0
3,7,0,88,0
3,8,0,9,0
3,6,0,88,0
3,7,0,9,0
3,6,0,9,0
3,8,0,82,0
3,7,0,82,0
3,8,0,84,0
3,6,0,82,0
3,7,0,84,0
3,6,0,84,0
3,8,0,76,0
3,7,0,76,0
3,6,0,76,0
3,8,0,78,0
3,7,0,78,0
3,6,0,78,0
3,8,0,8,0
3,7,0,8,0
3,6,0,8,0
3,8,0,72,0
3,7,0,72,0
3,6,0,72,0
3,8,0,74,0
3,7,0,74,0
3,9,0,66,0
3,6,0,74,0
3,8,0,66,0
3,7,0,66,0
3,9,0,68,0
3,8,0,68,0
3,7,0,68,0
3,9,0,7,0
3,8,0,7,0
3,7,0,7,0
3,6,0,7,0
3,9,0,72,0
3,9,0,74,0
3,9,0,76,0
3,9,0,78,0
3,9,0,8,0
3,9,0,82,0
3,9,0,84,0
4,0,92,0,8
4,0,94,0,6
4,0,96,0,4
4,0,98,0,2
4,1,0,0,76
3,9,0,92,0
3,9,0,96,0
3,9,0,98,0
3,9,1,0,0
3,9,0,94,0
4,1,0,92,0
4,0,86,0,14
4,1,0,94,0
4,0,88,0,12
4,0,9,0,1
4,1,0,96,0
4,1,0,98,0
4,1,1,0,0
3,9,0,86,0
3,9,0,88,0
3,9,0,9,0
4,0,82,0,18
4,1,0,86,0
4,0,84,0,16
4,1,0,88,0
4,1,0,9,0
4,0,76,0,24
4,0,78,0,22
4,0,8,0,2
4,1,0,82,0
4,1,0,84,0
4,0,72,0,28
4,0,74,0,26
4,1,0,76,0
4,0,66,0,34
4,1,0,78,0
4,0,68,0,32
4,1,0,8,0
4,0,7,0,3
4,1,0,72,0
4,1,0,74,0
4,2,0,66,0
4,1,0,66,0
4,2,0,68,0
4,1,0,68,0
4,1,0,7,0
4,3,0,92,0
4,3,0,94,0
4,3,0,96,0
4,3,0,98,0
4,3,1,0,0
4,2,0,92,0
4,2,0,94,0
4,2,0,96,0
4,2,0,98,0
4,2,1,0,0
4,3,0,86,0
4,3,0,88,0
4,2,0,86,0
4,3,0,9,0
4,2,0,88,0
4,2,0,9,0
4,3,0,82,0
4,2,0,82,0
4,3,0,84,0
4,2,0,84,0
4,3,0,76,0
4,2,0,76,0
4,3,0,78,0
4,2,0,78,0
4,3,0,8,0
4,2,0,8,0
4,3,0,72,0
4,2,0,72,0
4,3,0,74,0
4,2,0,74,0
4,3,0,66,0
4,3,0,68,0
4,3,0,7,0
4,2,0,7,0
4,4,0,66,0
4,4,0,68,0
4,4,0,7,0
4,4,0,72,0
4,4,0,74,0
4,4,0,76,0
4,4,0,78,0
4,4,0,8,0
4,4,0,82,0
4,4,0,84,0
4,4,0,86,0
4,4,0,88,0
4,4,0,9,0
4,4,0,92,0
4,4,0,94,0
4,4,0,96,0
4,4,0,98,0
4,4,1,0,0
4,5,0,66,0
4,5,0,68,0
4,5,0,7,0
4,5,0,72,0
4,5,0,74,0
4,5,0,76,0
4,5,0,78,0
4,5,0,8,0
4,5,0,82,0
4,5,0,84,0
4,5,0,86,0
4,5,0,88,0
4,5,0,9,0
4,5,0,92,0
4,5,0,94,0
4,5,0,96,0
4,5,0,98,0
4,5,1,0,0
4,6,0,66,0
4,6,0,68,0
4,6,0,7,0
4,6,0,72,0
4,6,0,74,0
4,6,0,76,0
4,6,0,78,0
4,6,0,8,0
4,6,0,82,0
4,6,0,84,0
4,6,0,87,0
4,6,0,89,0
4,6,0,91,0
4,6,0,93,0
4,6,0,95,0
4,6,0,97,0
4,6,0,99,0
4,7,0,65,0
4,7,0,67,0
4,7,0,69,0
4,7,0,71,0
4,7,0,73,0
4,7,0,75,0
4,7,0,77,0
4,7,0,79,0
4,7,0,81,0
4,7,0,83,0
4,7,0,85,0
4,7,0,87,0
4,7,0,89,0
4,7,0,91,0
4,7,0,93,0
4,7,0,95,0
4,7,0,97,0
4,7,0,99,0
4,8,0,65,0
4,8,0,67,0
4,8,0,69,0
4,8,0,71,0
4,8,0,73,0
4,8,0,75,0
4,8,0,77,0
4,8,0,79,0
4,8,0,81,0
4,8,0,83,0
4,8,0,85,0
4,8,0,87,0
4,8,0,89,0
4,8,0,91,0
4,8,0,93,0
4,8,0,95,0
4,8,0,97,0
4,8,0,99,0
4,9,0,65,0
4,9,0,67,0
4,9,0,69,0
4,9,0,71,0
4,9,0,73,0
4,9,0,75,0
4,9,0,77,0
4,9,0,79,0
4,9,0,81,0
4,9,0,83,0
4,9,0,85,0
4,9,0,87,0
4,9,0,89,0
4,9,0,91,0
4,9,0,93,0
4,9,0,95,0
4,9,0,97,0
4,9,0,99,0
5,0,65,0,35
5,0,67,0,33
5,0,69,0,31
5,0,71,0,29
5,0,73,0,27
5,0,75,0,25
5,0,77,0,23
5,0,79,0,21
5,0,81,0,19
5,0,83,0,17
5,0,85,0,15
5,0,87,0,13
5,0,89,0,11
5,0,91,0,9
5,0,93,0,7
5,0,95,0,5
5,0,97,0,3
5,0,99,0,1
5,1,0,65,0
5,1,0,67,0
5,1,0,69,0
5,1,0,71,0
5,1,0,73,0
5,1,0,75,0
5,1,0,77,0
