Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),x0**2 + sin(x0),50,00:00:24.63,False
1,0.8662910489796173,0.8693274669009275,(sin(((x0 * x0) / (x0 * x0))) - (cos((x0 + x0)) - ((x0 + x0) - sin(x0)))),2*x0 - sin(x0) - cos(2*x0) + sin(1),50,00:00:36.53,False
2,0.8676129221242707,0.8710473118565875,((x0 / cos(x0)) + sin((x0 * x0))),x0/cos(x0) + sin(x0**2),50,00:00:46.12,False
3,0.7758048475779739,0.7930072683357052,((cos(log((x0 - x0)))**((((x0 - x0) - cos(x0)) * sin((x0 + 0.062))))) * (x0 / cos((cos(x0)**((x0 / x0)))))),nan,50,00:00:18.68,False
4,0.9053891866574219,0.910483960086079,((sin(x0) / cos(x0)) / (cos(x0)**((x0 + x0)))),sin(x0)*cos(x0)**(-2*x0 - 1),50,00:00:23.09,False
5,0.5046275390424693,0.5004610631020964,sin(((x0 * x0) + x0)),sin(x0*(x0 + 1)),50,00:00:31.70,False
6,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),x0*(x0 + 1),50,00:00:22.37,False
7,0.967228744299949,0.9657511968542032,(((x0 * (x0 + (x0 * x0))) / sin(x0)) / cos(cos((0.7 / x0)))),x0**2*(x0 + 1)/(sin(x0)*cos(cos(0.7/x0))),50,00:00:18.38,False
8,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),x0**2 + sin(x0),50,00:00:27.27,False
9,0.7781553519923856,0.7789939926919294,(x0 + sin((((x0 + x0) * cos(-0.952)) * x0))),x0 + sin(1.16011019234613*x0**2),50,00:00:23.52,False
10,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),x0**2 + sin(x0),50,00:00:26.70,False
11,0.981186321704081,0.9809793601937403,(((x0 / x0) + sin(x0)) * (x0 + (x0 * x0))),x0*(x0 + 1)*(sin(x0) + 1),50,00:00:16.14,False
12,0.8429384176454359,0.8474271856360975,((sin((x0 * x0)) + x0) / sin((x0 / x0))),(x0 + sin(x0**2))/sin(1),50,00:00:29.55,False
13,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),x0**2 + sin(x0),50,00:00:24.78,False
14,0.9680027465315664,0.9690108060394762,((x0 * (sin(x0) / (0.309**(x0)))) / sin(x0)),3.23624595469256**x0*x0,50,00:00:25.22,False
15,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),x0*(x0 + 1),50,00:00:20.83,False
16,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),x0**2 + sin(x0),50,00:00:30.90,False
17,0.4844831542727257,0.48700304820022866,sin(((x0 * x0) - (x0 / -0.826))),sin(x0*(x0 + 1.21065375302663)),50,00:00:23.05,False
18,0.7453372049146602,0.740133995443236,(((x0 * x0) + sin(x0)) + sin((x0 - x0))),x0**2 + sin(x0),50,00:00:24.94,False
19,0.7125279961442723,0.7072109923693581,((sin(x0) + (x0 - x0)) * ((x0 / x0) + x0)),(x0 + 1)*sin(x0),50,00:00:18.16,False
20,0.891716250926877,0.8954910034853099,(((x0 + x0) * (x0 + 0.578)) / cos((0.015 * x0))),2*x0*(x0 + 0.578)/cos(0.015*x0),50,00:00:20.83,False
21,0.7721437205832411,0.777547625774045,(cos((0.527 - (x0 - x0))) / ((x0 / (x0 * x0)) - cos(x0))),-0.864319785634571*x0/(x0*cos(x0) - 1),50,00:00:27.84,False
22,0.8996710196283685,0.9181866438591978,((x0 + x0) * (x0 + (x0 * x0))),2*x0**2*(x0 + 1),50,00:00:28.31,False
23,0.8898301859786596,0.8579542312425672,((x0 - cos(sin(x0))) + (((x0 / x0) + sin(x0)) + (x0 * (x0 + x0)))),2*x0**2 + x0 + sin(x0) - cos(sin(x0)) + 1,50,00:00:31.21,False
24,0.9042656569803988,0.8949104671938832,(((x0 + x0) + (x0 * x0)) - log(sin(sin(cos((x0 * x0)))))),x0**2 + 2*x0 - log(sin(sin(cos(x0**2)))),50,00:00:38.66,False
25,0.8499222485862636,0.8567713555841127,(x0 + ((x0 + x0) * sin(x0))),x0*(2*sin(x0) + 1),50,00:00:25.33,False
26,0.667621247458446,0.6534594473154387,(x0 - log(cos(x0))),x0 - log(cos(x0)),50,00:00:19.90,False
27,0.5820848318173375,0.5842792676070431,(sin((sin(x0) + (x0 * x0))) / (sin(0.449) + sin(sin(0.449)))),1.17010104650381*sin(x0**2 + sin(x0)),50,00:00:24.89,False
28,0.9450001840448603,0.9301479813790638,((x0 - -0.948) * (x0 + x0)),2*x0*(x0 + 0.948),50,00:00:22.38,False
29,0.8733868357230828,0.874478621587054,(((x0 + x0) - ((x0 * x0) / -0.435)) - (sin(x0) + (x0 * x0))),1.29885057471264*x0**2 + 2*x0 - sin(x0),50,00:00:29.67,False
