Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.995570881545615,0.994650312259012,(x0 / sin(sin((x0 / x0)))),x0/sin(sin(1)),00:01:01.35,False
1,0.919789540041238,0.918964722794392,((x0 + x0)**((sin(0.822) / (x0 / x0)))),1.66152593096707*x0**0.732508808940671,00:00:54.59,False
2,0.98142868954895,0.973595144907095,((-0.533 * x0) + (x0 + x0)),1.467*x0,00:00:54.31,False
3,0.986266143880249,0.98237843763632,(x0 / sin(0.875)),1.30285774954354*x0,00:00:48.23,False
4,0.991426820365909,0.989058531506688,(sin(x0) * (x0 + 0.718)),(x0 + 0.718)*sin(x0),00:00:55.82,False
5,0.998491576398846,0.998122768807928,(x0 / cos(0.762)),1.38225269543034*x0,00:00:50.30,False
6,0.981706274107598,0.973985624108546,((x0 * x0) / (0.682 * x0)),1.46627565982405*x0,00:00:49.18,False
7,0.886424591288566,0.831043628728241,(((x0 + x0)**((0.746**(x0))))**((sin(x0)**(sin(x0))))),((2*x0)**(0.746**x0))**(sin(x0)**sin(x0)),00:00:41.71,False
8,0.995163355732094,0.990941972908727,(x0 - log(cos(sin(x0)))),x0 - log(cos(sin(x0))),00:00:57.95,False
9,0.995163355732094,0.990941972908727,(x0 - log(cos(sin(x0)))),x0 - log(cos(sin(x0))),00:00:51.44,False
10,0.963197485114115,0.952089131688821,((x0 + x0) - sin(x0)),2*x0 - sin(x0),00:00:49.07,False
11,0.897391195255805,0.851226168920375,(((x0 / x0) - cos(x0)) + sin(sin(x0))),sin(sin(x0)) - cos(x0) + 1,00:00:57.97,False
12,0.979645527903347,0.969364384024921,(x0 / (sin(sin(x0))**(x0))),x0/sin(sin(x0))**x0,00:00:44.11,False
13,0.969028589509293,0.96857320474683,(log((x0 / sin(x0))) + x0),x0 + log(x0/sin(x0)),00:00:58.64,False
14,0.991036785905412,0.98461790980698,(cos(0.295) / (cos(sin(cos(log(x0)))) / x0)),0.956802142321014*x0/cos(sin(cos(log(x0)))),00:01:03.23,False
15,0.912265569334144,0.914676154710711,((-0.555 + x0) + (x0 / x0)),x0 + 0.445,00:00:49.34,False
16,0.957526196490146,0.955263946016531,(((x0 + x0)**(0.208)) * x0),1.15508578455358*x0**1.208,00:00:43.18,False
17,0.96695605619011,0.962170288309134,(x0 / sin(cos(sin(log(x0))))),x0/sin(cos(sin(log(x0)))),00:00:54.33,False
18,0.982786139556738,0.997101511803446,(x0 + log((cos(log(0.748)) + log((x0 + 0.748))))),x0 + log(log(x0 + 0.748) + 0.958143074791036),00:00:57.47,False
19,0.990299357906606,0.986126748016024,(x0 / cos(-0.803)),1.43977802490156*x0,00:00:49.34,False
20,0.992571176435878,0.988239652628312,((0.669 + x0) * sin(x0)),(x0 + 0.669)*sin(x0),00:01:01.05,False
21,0.989563306742343,0.987449185629322,((x0**(cos(sin((log(0.617) / (x0**(x0))))))) / 0.739),1.3531799729364*x0**cos(sin(0.482886255076749/x0**x0)),00:00:49.43,False
22,0.949993858102458,0.912130094640568,(x0 / (0.812**((x0 / sin((x0 / x0)))))),1.23152709359606**(x0/sin(1))*x0,00:00:42.56,False
23,0.945528791873425,0.938917455133962,(x0 + sin((x0 * cos(cos(cos(x0)))))),x0 + sin(x0*cos(cos(cos(x0)))),00:00:40.93,False
24,0.995163355732094,0.990941972908727,(x0 - log(cos(((sin(x0) * x0) / x0)))),x0 - log(cos(sin(x0))),00:00:47.58,False
25,0.998514484078501,0.998174906660281,(x0 / sin(0.81)),1.38066782815756*x0,00:00:52.05,False
26,0.956452437093848,0.937170241280759,(x0 / cos(cos(cos((x0 - 0.882))))),x0/cos(cos(cos(x0 - 0.882))),00:00:50.75,False
27,0.995163355732094,0.990941972908727,(x0 - (log(cos(sin(x0))) - (x0 * (x0 - x0)))),x0 - log(cos(sin(x0))),00:00:47.37,False
28,0.900825996514442,0.847303577355196,(x0 - log(cos(sin((x0 + log(x0)))))),x0 - log(cos(sin(x0 + log(x0)))),00:00:52.34,False
29,0.974161961095481,0.984859681484104,(sin(x0) + (-0.397 + x0)),x0 + sin(x0) - 0.397,00:00:53.88,False
