Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.355018767885855,0.317396360815402,(x5 / cos(x5)),x5/cos(x5),00:04:12.47,False
1,-0.013203009331831,-0.04468086458128,(cos(x1) / cos(x5)),cos(x1)/cos(x5),00:04:19.67,False
2,-0.234873554764008,-0.012352388242071,((cos(x1)**((x3 - cos(x3))))**(sin(x5))),(cos(x1)**(x3 - cos(x3)))**sin(x5),00:03:57.36,False
3,0.315319460319855,0.468602333129401,((x5 + cos(x0)) / cos(x5)),(x5 + cos(x0))/cos(x5),00:04:41.26,False
4,0.748056432331308,0.792364700345986,(0.822 / (0.052**(x5))),0.822*19.2307692307692**x5,00:03:52.33,False
5,0.17414360930382,0.25061868669658,((0.141 * 0.913)**((x5 * -0.834))),7.76801597104084**(0.834*x5),00:04:20.50,False
6,0.408043873173354,0.53373723476316,((0.534 - 0.521)**((sin((x5 * x5)) - x5))),0.013**(-x5 + sin(x5**2)),00:04:37.06,False
7,0.193090735228397,0.234910050152031,(sin(x1) / (cos(x5) * x1)),sin(x1)/(x1*cos(x5)),00:03:35.68,False
8,0.25165870955018,0.161639680220736,(((x5 / sin(x5)) - sin(x0)) / cos(x5)),(2*x5 - cos(x0 - x5) + cos(x0 + x5))/sin(2*x5),00:03:55.94,False
9,-0.122802886074835,0.040790477416278,(cos(cos(x0))**((((-0.043 - x5) + x2) / cos(cos(x0))))),cos(cos(x0))**((x2 - x5 - 0.043)/cos(cos(x0))),00:03:58.10,False
10,0.424516979998411,0.354303222094362,((x5 / cos(x5)) + ((x5 * x0) / (sin((x5 + -0.182)) * x0))),x5/cos(x5) + x5/sin(x5 - 0.182),00:03:49.84,False
11,0.112990672947499,0.197194607160409,(sin((0.756 / 0.938))**((x5 / -0.2))),1.38599615125449**(5.0*x5),00:04:16.92,False
12,0.269477510568135,0.331436876062639,((x3 / x3) / cos(x5)),1/cos(x5),00:04:19.61,False
13,0.437106913125627,0.549815844996926,(((0.739**((x3 - x5))) / cos(x5)) - sin(x1)),0.739**(x3 - x5)/cos(x5) - sin(x1),00:04:15.89,False
14,0.032262165417337,0.050325829744929,(sin(0.453)**((x4 + ((-0.814 - x5) + sin(x0))))),0.437664914022843**(x4 - x5 + sin(x0) - 0.814),00:03:45.49,False
15,0.269477510568135,0.331436876062639,((x2 / x2) / cos(x5)),1/cos(x5),00:05:33.89,False
16,0.355018767885855,0.317396360815402,(x0 / (cos(x5) / (x5 / x0))),x5/cos(x5),00:04:37.50,False
17,0.269477510568135,0.331436876062639,((x0 / x0) / cos(x5)),1/cos(x5),00:04:13.60,False
18,0.148621672619356,0.002430737801531,(sin(((x2 / x2)**(log(cos(cos(cos(x0)))))))**((x5 / x2))),sin(1)**(x5/x2),00:03:37.91,False
19,0.397133429254813,0.352541224382619,(((x5 / sin(cos(x5))) + x4) + cos(sin(x4))),x4 + x5/sin(cos(x5)) + cos(sin(x4)),00:03:58.84,False
20,0.445454076358093,0.501012979719918,((0.532 + x5) / cos(x5)),(x5 + 0.532)/cos(x5),00:03:58.77,False
21,-0.007347850851844,-0.014017123226829,(cos(sin(x0))**((x5 / x4))),cos(sin(x0))**(x5/x4),00:03:57.81,False
22,-0.107572228173151,0.005106320835106,((x2 / ((0.368 * 0.751) * x2))**(x5)),3.61836392056968**x5,00:04:01.27,False
23,0.243003171226902,0.312071301994938,(cos(0.335) / cos(x5)),0.944410309632643/cos(x5),00:04:34.27,False
24,0.326728046634359,0.394458701833396,((sin(cos(x5)) + ((x5**((x1 - x1)))**((x2 / x1)))) / cos(x5)),(sin(cos(x5)) + 1)/cos(x5),00:03:30.07,False
25,0.096908720071725,0.201598755163428,((sin(0.772) + (-0.419 * x5))**(log((0.164 / 0.413)))),1.39463178279474/(1 - 0.600656851893419*x5)**0.923581165136834,00:04:20.35,False
26,0.295648529956845,0.356715254873674,(sin(x5) + (sin(x5) / cos(x5))),sin(x5) + tan(x5),00:03:19.13,False
27,-0.018934451221925,0.092488119406119,((x5 * x5)**((x5 + x5))),(x5**2)**(2*x5),00:03:16.98,False
28,0.328430795315063,0.369301122665405,((x0 / sin(x0)) / sin(cos(x5))),x0/(sin(x0)*sin(cos(x5))),00:04:10.58,False
29,-0.001835157845456,-0.786984225618928,((x4 / sin((x0 + x4))) / cos(x5)),x4/(sin(x0 + x4)*cos(x5)),00:04:38.23,False
