Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.6369135115755776,0.6597945474854071,(x1 + ((cos(-0.36)**((0.543 + 0.611))) - sin((x1 * -0.206)))),50,00:00:14.75,False
1,0.7313002418877164,0.6865004285705036,(x1 + cos(x0)),50,00:00:13.42,False
2,0.7079889811275079,0.6965146611212619,(-0.459 - (sin(-0.565) - (x1 - -0.858))),50,00:00:12.13,False
3,0.7454204459341964,0.7073663436075015,(cos(x0) + sin(x1)),50,00:00:13.75,False
4,0.6972106672132607,0.6669996204245507,(x1 + cos(log(cos(x1)))),50,00:00:18.15,False
5,0.7454204459341964,0.7073663436075015,(cos(x0) + sin(x1)),50,00:00:14.09,False
6,0.8669235825332164,0.8666674545002474,((x1 / (cos(x0)**(x0))) + cos(x0)),50,00:00:14.40,False
7,0.6432040943162647,0.6063626945596051,((cos(x1) * cos(x0)) - (x1 / -0.997)),50,00:00:16.88,False
8,0.7194848652525769,0.713818008337358,(cos(-0.477) + x1),50,00:00:14.71,False
9,0.717366792994782,0.7181882599993417,(x1 + sin(cos(sin((cos((x0 - x0)) * sin(x0)))))),50,00:00:11.57,False
10,0.729103769705629,0.7195309099331928,(cos(cos((cos(x1)**(x1)))) - (x1 - (x1 - (sin(x1) - (x1 + x1))))),50,00:00:13.16,False
11,0.7542917163783245,0.7308662881078125,(sin(x1) + cos(sin(((x0 - x1) + x1)))),50,00:00:14.00,False
12,0.8127396810320674,0.8208916806425769,(sin(cos(sin(((x1 - x0) * x0)))) + x1),50,00:00:16.89,False
13,0.6875031311793343,0.6453422580122785,((x0 / x0) + sin(x1)),50,00:00:15.56,False
14,0.7403440931435009,0.7167970510177926,(x1 + cos(sin(x0))),50,00:00:13.38,False
15,0.8972932878299349,0.8975208930153782,(cos((x1 - x0)) + x1),50,00:00:13.28,False
16,0.7313002418877164,0.6865004285705036,(cos(x0) + x1),50,00:00:14.88,False
17,0.7313002418877164,0.6865004285705036,(x1 + cos(x0)),50,00:00:20.78,False
18,0.7176556486172505,0.698996370528788,((cos(x0) + x1) * ((x1 + x1) / (x1 / 0.455))),50,00:00:17.55,False
19,0.7313002418877164,0.6865004285705036,(x1 + cos(x0)),50,00:00:11.17,False
20,0.7335648536794166,0.6973401837823227,((x1 * (x0 + cos(cos(x0)))) + cos(x1)),50,00:00:15.53,False
21,0.7313002418877164,0.6865004285705036,(x1 + cos(x0)),50,00:00:13.24,False
22,0.7542917163783245,0.7308662881078125,(cos(sin(x0)) + sin(x1)),50,00:00:12.40,False
23,0.7171284290343626,0.6729873463195442,(sin(sin(x1)) + cos(0.354)),50,00:00:14.62,False
24,0.7454204459341964,0.7073663436075015,(cos(x0) + sin(x1)),50,00:00:15.67,False
25,0.6976683172741649,0.6835723576832173,((x0 / x0) - (0.042 - x1)),50,00:00:19.97,False
26,0.7194241851616485,0.7104794447637732,(sin(x1) + sin((sin(x1) / x1))),50,00:00:14.56,False
27,0.9425938304483801,0.9381956580528946,(sin((x0 * x1)) + (x1 - -0.803)),50,00:00:21.22,False
28,0.7454204459341964,0.7073663436075015,(cos(x0) + sin(x1)),50,00:00:10.84,False
29,0.8857267701337594,0.8900894103797568,(cos((sin(x0) - x1)) + sin(x1)),50,00:00:13.75,False
