Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.8244735334001454,0.824608299106645,(((x0 / x0) - (-0.144 - x0)) * x0),x0*(x0 + 1.144),50,00:00:13.47,False
1,0.7125279961442723,0.7072109923693581,((((cos(x0) / cos(x0)) + x0) - sin(sin((x0 - x0)))) * sin(x0)),(x0 + 1)*sin(x0),50,00:00:25.19,False
2,0.6705228356540686,0.6629066322099622,(x0 + ((sin(x0) * 0.793) * sin(x0))),x0 + 0.793*sin(x0)**2,50,00:00:14.62,False
3,0.8858438243198753,0.8867799396569205,((((cos((x0 * x0)) / (cos(x0) / (x0 - -0.433))) + (cos(sin(x0)) / (cos(0.561) / (x0 - x0)))) + x0) * (sin(((x0 * x0) * x0)) + cos(x0))),(x0*cos(x0) + (x0 + 0.433)*cos(x0**2))*(sin(x0**3) + cos(x0))/cos(x0),50,00:00:16.36,False
4,0.7861873999570433,0.7823574894731111,(x0 + ((x0 * x0)**((x0 / x0)))),x0*(x0 + 1),50,00:00:11.83,False
5,0.8947473825083602,0.8925731801246488,(sin((x0 * x0)) / (x0 - sin((x0 * x0)))),sin(x0**2)/(x0 - sin(x0**2)),50,00:00:17.67,False
6,0.9306447629438074,0.9326357077895701,((0.675 + x0) / (0.523 / x0)),1.91204588910134*x0*(x0 + 0.675),50,00:00:12.19,False
7,0.9617754859549147,0.9626836139639603,((x0 / x0) / ((0.316**(x0)) / x0)),3.16455696202532**x0*x0,50,00:00:17.23,False
8,0.9411903714490293,0.9327358250822119,((x0 / 0.463) * (x0 - -0.723)),2.15982721382289*x0*(x0 + 0.723),50,00:00:11.24,False
9,0.7796518911518646,0.7866072439196375,((sin(x0) + cos(x0)) * ((x0 + x0) * cos(-0.802))),1.39054120941777*sqrt(2)*x0*sin(x0 + pi/4),50,00:00:16.58,False
10,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),x0*(x0 + 1),50,00:00:12.58,False
11,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),x0*(x0 + 1),50,00:00:11.94,False
12,0.7584997319560068,0.7505806962021965,((x0 * x0) + (x0 + -0.08)),x0**2 + x0 - 0.08,50,00:00:11.17,False
13,0.9872377946090354,0.9864101101042692,(x0 / (0.229**(x0))),4.36681222707424**x0*x0,50,00:00:11.62,False
14,0.7861502990209527,0.7823171766245711,(cos((-0.516 * 0.023)) * (x0 + (x0 * x0))),0.999929576114603*x0*(x0 + 1),50,00:00:12.29,False
15,0.7861873999570433,0.7823574894731111,(x0 * (x0 + cos(log((x0 / x0))))),x0*(x0 + 1),50,00:00:15.00,False
16,0.8522178692756,0.8518607931657988,(((x0 * x0) - (sin(x0) - x0)) / (x0 / (cos(-0.043) + x0))),(x0 + 0.999075642441262)*(x0**2 + x0 - sin(x0))/x0,50,00:00:11.53,False
17,0.7530709770378554,0.749323225969712,((sin(x0) * x0) + x0),x0*(sin(x0) + 1),50,00:00:10.61,False
18,0.7350923944681385,0.7333630538185147,(sin(sin((x0 * x0))) + x0),x0 + sin(sin(x0**2)),50,00:00:08.79,False
19,0.7892430045135406,0.785705565102783,((x0 / 0.99) + (x0 * x0)),x0*(x0 + 1.01010101010101),50,00:00:09.95,False
20,0.9556038650871569,0.9553237665285005,(cos(((x0 / x0) / (0.228**(-0.548)))) / ((0.289**(x0)) / x0)),0.902704002218659*3.46020761245675**x0*x0,50,00:00:17.55,False
21,0.8534383507392312,0.8546696082983412,((x0 / sin(((x0 / x0)**(x0)))) * (0.934 + x0)),x0*(x0 + 0.934)/sin(1),50,00:00:11.85,False
22,0.7861873999570433,0.7823574894731111,((((x0 * x0) - cos(x0)) + (cos(x0)**((x0 / x0)))) + x0),x0*(x0 + 1),50,00:00:10.57,False
23,0.5046275390424693,0.5004610631020964,sin(((x0 * x0) + x0)),sin(x0*(x0 + 1)),50,00:00:11.29,False
24,0.994905038880591,0.9944176468217891,((x0 + (x0 * x0)) / cos(sin((sin(x0) / cos(x0))))),x0*(x0 + 1)/cos(sin(tan(x0))),50,00:00:11.57,False
25,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),x0**2 + sin(x0),50,00:00:11.92,False
26,0.8312564337502077,0.8322250315449515,((x0 * ((0.94 + x0) - (x0 - x0))) + sin(((x0 * 0.237) - (x0 - x0)))),x0*(x0 + 0.94) + sin(0.237*x0),50,00:00:23.76,False
27,0.9417128911078396,0.9260617545283389,((x0 + x0) * (x0 - -0.96)),2*x0*(x0 + 0.96),50,00:00:12.24,False
28,0.9603663126679666,0.9520701360442237,((x0 + sin((x0 / x0))) * (x0 + x0)),2*x0*(x0 + sin(1)),50,00:00:17.20,False
29,0.8181805758871592,0.8238815442111946,(sin(x0) / (((0.195 * x0) * (x0 + x0))**(x0))),sin(x0)/(0.39*x0**2)**x0,50,00:00:16.98,False
