Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.992011922307278,0.986109001376382,(x0 / sin(((0.049**(x0))**(0.049)))),x0/sin((0.049**x0)**0.049),00:00:21.08,False
1,0.970483552943538,0.960325972085576,(((x0 * 0.472)**(cos(-0.282))) + ((x0 + 0.013) - (x0 * 0.222))),0.486206798442911*x0**0.960500805271881 + 0.778*x0 + 0.013,00:00:32.60,False
2,0.950795575167749,0.945350637079417,log((((x0**(x0)) * (x0 + x0)) - (log(0.918) - (x0**(x0))))),log(x0**x0 + 2*x0**(x0 + 1) + 0.0855578883616465),00:00:13.63,False
3,0.988156135794945,0.984893797775404,((x0 / 0.764) / (x0 / x0)),1.30890052356021*x0,00:00:16.15,False
4,0.963197485114115,0.952089131688821,((x0 + x0) - sin(x0)),2*x0 - sin(x0),00:00:14.55,False
5,0.959788115994772,0.950794002884516,(sin(x0) + (x0 * 0.742)),0.742*x0 + sin(x0),00:00:10.51,False
6,0.99626792227558,0.994702497907536,(x0 / (0.709 * (x0 / x0))),1.41043723554302*x0,00:00:15.22,False
7,0.959919674669847,0.95356037439015,(((-0.502 + x0) + (x0 - 0.648)) + sin(cos(x0))),2*x0 + sin(cos(x0)) - 1.15,00:00:22.79,False
8,0.919952634203337,0.881103924194557,log((((x0 * x0) + cos(x0)) + (x0 + (x0 * x0)))),log(2*x0**2 + x0 + cos(x0)),00:00:10.82,False
9,0.900431728884944,0.859756634592616,((cos(x0) - (0.291 - x0)) - cos((x0 + x0))),x0 + cos(x0) - cos(2*x0) - 0.291,00:00:10.81,False
10,0.976015099060984,0.977252342655041,((0.201 * x0) + (x0 - -0.216)),1.201*x0 + 0.216,00:00:12.44,False
11,0.844646992493728,0.83087642060503,((x0 + ((x0 + x0)**(log(x0))))**(log(x0))),(x0 + (2*x0)**log(x0))**log(x0),00:00:15.63,False
12,0.989170075692956,0.9845231958327,(cos(sin(cos(0.516))) * (x0 + x0)),1.44387259358614*x0,00:00:09.89,False
13,0.990545501008287,0.986476743343775,((x0 / 0.695)**((x0 / x0))),1.43884892086331*x0,00:00:14.42,False
14,0.997051438507404,0.996541008094906,(x0 * ((x0 + x0) * (0.676 / x0))),1.352*x0,00:00:11.98,False
15,0.969051607537129,0.954886269256453,((x0**(0.657)) - (cos(x0) - (x0 / x0))),x0**0.657 - cos(x0) + 1,00:00:13.20,False
16,0.95508784336731,0.943461063485746,(x0 / sin((sin(x0)**((x0 * x0))))),x0/sin(sin(x0)**(x0**2)),00:00:22.22,False
17,0.903344869536986,0.892025940175769,(((x0 + x0) - (log(x0) - x0))**(log(x0))),(3*x0 - log(x0))**log(x0),00:00:15.71,False
18,0.975025797040454,0.964606301232001,(cos(0.736) * (x0 + x0)),1.48231959088622*x0,00:00:10.28,False
19,0.992610477397079,0.989421408802033,((x0 + x0) * (sin(-0.107) + 0.822)),1.43040811397176*x0,00:00:14.16,False
20,0.994069011760634,0.992698803539534,((x0 + x0) * cos(sin(cos((x0 - x0))))),2*x0*cos(sin(1)),00:00:26.44,False
21,0.977319378952282,0.967822633860387,(x0**((log((x0 / 0.677)) / log(x0)))),1.47710487444609*x0,00:00:28.39,False
22,0.963280393221982,0.945853080895044,(x0 - sin((cos(x0) - (x0 / x0)))),x0 - sin(cos(x0) - 1),00:00:09.84,False
23,0.970946806352822,0.958894007884112,((0.934 - -0.557) * x0),1.491*x0,00:00:23.15,False
24,0.997737011790407,0.997390646594376,(x0 + ((x0 * 0.359)**((x0 / x0)))),1.359*x0,00:00:11.55,False
25,0.915739230855463,0.906894994343079,(x0 + (0.194 / 0.499)),x0 + 0.38877755511022,00:00:27.69,False
26,0.969303685392195,0.959629641213592,((x0 + x0) * cos(-0.888)),1.26192982041804*x0,00:00:38.21,False
27,0.894147758858225,0.892813292677458,(sin(sin(x0)) + x0),x0 + sin(sin(x0)),00:00:21.14,False
28,0.943196136966989,0.920188874720336,((0.538 * x0) + x0),1.538*x0,00:00:29.51,False
29,0.971058813001257,0.969781431883117,(x0 / sin(cos((sin(x0) * log(x0))))),x0/sin(cos(log(x0)*sin(x0))),00:00:26.95,False
