Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,-0.013203009331831383,-0.04468086458127951,(cos(x1) / cos(x5)),cos(x1)/cos(x5),100,00:02:48.17,False
1,0.26947751056813507,0.33143687606263883,((x4 / x4) / cos(x5)),1/cos(x5),100,00:03:04.23,False
2,0.4262132257697898,0.5738685207859131,((cos(x4) + sin(x5)) / cos(x5)),(sin(x5) + cos(x4))/cos(x5),100,00:02:56.42,False
3,-0.3158741175718689,-0.1858826297133711,((cos((sin(x4) * x5)) + x5) + cos(x0)),x5 + cos(x0) + cos(x5*sin(x4)),100,00:03:05.51,False
4,0.17640121526955366,0.17054921542858326,(cos(sin(x2)) / cos(x5)),cos(sin(x2))/cos(x5),100,00:03:11.30,False
5,0.3158787616393086,0.23113794609731797,(((x0 + ((((x5 + x1) - x1) / cos(x5)) - (x0 + x5))) + sin(x2)) + (x4 / (x4 - x3))),-x4/(x3 - x4) - x5 + x5/cos(x5) + sin(x2),100,00:03:44.97,False
6,0.26947751056813507,0.33143687606263883,(x1 / (cos(x5) * x1)),1/cos(x5),100,00:03:02.37,False
7,0.418447846549029,0.4731054397340212,((x5 + cos(cos(x2))) / cos(x5)),(x5 + cos(cos(x2)))/cos(x5),100,00:03:07.99,False
8,0.35501876788585485,0.31739636081540157,(x5 / cos(x5)),x5/cos(x5),100,00:02:45.48,False
9,0.01647137912711738,0.36392108741471463,(cos(x1)**((sin((x1 * x5)) - x5))),cos(x1)**(-x5 + sin(x1*x5)),100,00:02:46.08,False
10,0.27583029503542833,0.3240646045523713,(cos(cos(x1)) / (cos(x5) * cos(cos((x5 / x2))))),cos(cos(x1))/(cos(x5)*cos(cos(x5/x2))),100,00:03:06.68,False
11,0.20066961655757332,0.2628058348764357,(cos(sin(x3)) / cos(x5)),cos(sin(x3))/cos(x5),100,00:03:00.98,False
12,0.3437582855644421,0.32139614979314823,((x4 * x1) + (x5 / cos(x5))),x1*x4 + x5/cos(x5),100,00:02:43.72,False
13,0.9300804607628514,0.9292544378885743,(sin(sin(0.585))**((x5 / log(0.777)))),1.90635601565208**(3.96330096475541*x5),100,00:03:10.79,False
14,0.35501876788585485,0.31739636081540157,(x5 / (x2 / (x2 / cos(x5)))),x5/cos(x5),100,00:03:08.26,False
15,0.11086028636411116,0.18226370957225124,(sin(cos(sin(x4))) / cos(x5)),sin(cos(sin(x4)))/cos(x5),100,00:03:05.90,False
16,0.3577002499129922,0.31940793908552434,((x5 / x2) * (x2 / sin(cos(x5)))),x5/sin(cos(x5)),100,00:03:26.69,False
17,0.38040763779075093,0.3024885712732297,((x2 + ((x5 / cos(x5)) + x3)) + cos(x3)),x2 + x3 + x5/cos(x5) + cos(x3),100,00:03:21.71,False
18,0.3514439432974954,0.31301334334368136,((sin(x5) * x5) / cos(x5)),x5*tan(x5),100,00:03:22.76,False
19,0.4409065635844276,0.4741821290293329,((x5 - -0.395) / cos(x5)),(x5 + 0.395)/cos(x5),100,00:03:00.97,False
20,0.35770024991299243,0.31940793908552434,(x5 / sin(cos(x5))),x5/sin(cos(x5)),100,00:02:54.81,False
21,-0.013891141460766532,-0.12941768561220224,(cos(x0) / cos(x5)),cos(x0)/cos(x5),100,00:02:52.44,False
22,0.35501876788585485,0.31739636081540157,(x5 / cos(x5)),x5/cos(x5),100,00:02:31.39,False
23,-0.031128484294792758,-0.0849432712893019,(cos(0.476)**((x5 / x2))),0.888834938605889**(x5/x2),100,00:02:49.86,False
24,-0.09496685031751384,0.06276156978216174,((x2 / (sin(x2) * sin(sin(0.342))))**(x5)),(3.03840170855433*x2/sin(x2))**x5,100,00:02:45.86,False
25,0.08729488733072732,0.1875753852916242,(cos(-0.824) / cos(x5)),0.679291174005207/cos(x5),100,00:02:57.76,False
26,0.35501876788585485,0.31739636081540157,(x5 / cos(x5)),x5/cos(x5),100,00:02:50.69,False
27,-0.1671974202379567,-0.02590451343246425,(cos(log(0.374))**(((0.635 + 0.892) * (x2 - x5)))),0.554112831709223**(1.527*x2 - 1.527*x5),100,00:03:03.84,False
28,0.35501876788585485,0.31739636081540157,(x5 / cos(x5)),x5/cos(x5),100,00:03:26.51,False
29,0.26947751056813507,0.33143687606263883,((x0 / x0) / cos(x5)),1/cos(x5),100,00:03:39.93,False
