Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.4296658374218315,0.520736443673667,cos((cos(cos(sin(x1))) - sin(x1))),cos(sin(x1) - cos(cos(sin(x1)))),1001,00:00:12.17,False
1,0.9986348932376097,0.9981688169729145,((cos(x0) + x1) + sin((x1 * x0))),x1 + sin(x0*x1) + cos(x0),1001,00:00:23.06,False
2,0.9950176239861056,0.9923489585087591,((x1 * x0) + (((x1 * sin(cos(x1))) / sin(cos(x1))) + cos(sin(x0)))),x0*x1 + x1 + cos(sin(x0)),1001,00:00:20.53,False
3,0.9422929962417248,0.9154971465568013,(((cos(sin(sin(x1))) + sin(x1)) * x1) + cos((((0.651 * x1) + sin(x1)) - sin(x0)))),x1*(sin(x1) + cos(sin(sin(x1)))) + cos(0.651*x1 - sin(x0) + sin(x1)),1001,00:00:20.90,False
4,0.9231415767150066,0.9074841405699416,((x1 + (x0 * x1)) + cos((sin(x1) - sin((x1 + (x0 * x1)))))),x0*x1 + x1 + cos(sin(x1) - sin(x1*(x0 + 1))),1001,00:00:21.19,False
5,1.0,1.0,(cos(x0) + (x1 + (x0 * x1))),x0*x1 + x1 + cos(x0),513,00:00:08.59,True
6,0.625661777813997,0.5078563767701737,log((((sin(x1) + (x0 / x0)) + (sin(x1) + (x0 / x0))) + cos(((sin(x1) * x1) * x1)))),log(2*sin(x1) + cos(x1**2*sin(x1)) + 2),1001,00:00:10.25,False
7,0.45104773310481716,0.5594532909062946,sin(((sin(x1) + (0.798**(x0)))**((x0 / x0)))),sin(0.798**x0 + sin(x1)),1001,00:00:09.49,False
8,0.541079335977876,0.4259058726596059,log(((cos(cos(x1)) + x1) + (cos(x1) + ((cos(x1) + cos(x0)) + x1)))),log(2*x1 + cos(x0) + 2*cos(x1) + cos(cos(x1))),1001,00:00:08.37,False
9,1.0,1.0,(cos(x0) + (x1 + (x1 * x0))),x0*x1 + x1 + cos(x0),435,00:00:08.06,True
10,0.4745319016094358,0.7000289928900245,sin((cos((((x0 + x1) - x1) - x1)) + sin(((x0 + x1) - x0)))),sin(sin(x1) + cos(x0 - x1)),1001,00:00:10.74,False
11,0.426362236602879,0.5247474642216947,sin((cos(sin(sin(sin(x1)))) + sin(x1))),sin(sin(x1) + cos(sin(sin(sin(x1))))),1001,00:00:09.14,False
12,0.9471614928108981,0.9314469802790613,(((x0 * x1) + sin(1.0)) + (x1 / 1.0)),x0*x1 + 1.0*x1 + 0.841470984807897,1001,00:00:16.55,False
13,0.426362236602879,0.5247474642216947,sin((sin(x1) + cos(sin(sin(sin(x1)))))),sin(sin(x1) + cos(sin(sin(sin(x1))))),1001,00:00:09.22,False
14,0.8972932878299349,0.8975208930153782,(x1 + cos((x0 - x1))),x1 + cos(x0 - x1),1001,00:00:20.05,False
15,0.9367280527643347,0.9402845503077126,(((x0 - x1) * x1) + (x1 + (cos(sin(x0)) / cos(x1)))),x0*x1 - x1**2 + x1 + cos(sin(x0))/cos(x1),1001,00:00:19.56,False
16,0.9806007618400429,0.9806377970489196,((cos(sin(sin(x0))) + sin(((0.916 * x1) * sin(x0)))) + x1),x1 + sin(0.916*x1*sin(x0)) + cos(sin(sin(x0))),1001,00:00:24.64,False
17,0.6839821016190502,0.6660173251434371,log((((x1 * sin(x1)) / x1) - ((-0.944 + (sin(-0.944) + sin(-0.944))) - sin(x1)))),log(2*sin(x1) + 2.56382157151596),1001,00:00:09.27,False
18,0.9893518413157477,0.9902089638476338,(((x0 * x1) + (sin(x1)**((x1 / x1)))) + cos(x0)),x0*x1 + sin(x1) + cos(x0),1001,00:00:20.01,False
19,0.9725486925759189,0.96434949175102,((sin(x1) + sin(sin((x0 * x1)))) + cos(((x1 + sin((x0 * x0))) - x1))),sin(x1) + sin(sin(x0*x1)) + cos(sin(x0**2)),1001,00:00:22.04,False
20,0.46293515231289906,0.7119881837144991,sin((((x1 + cos((x1 * x1))) + sin(sin((x0 * x1))))**((x1 / x1)))),sin(x1 + sin(sin(x0*x1)) + cos(x1**2)),1001,00:00:09.32,False
21,0.4625860388084525,0.6897152085188425,sin((cos((x1 - x0)) + x1)),sin(x1 + cos(x0 - x1)),1001,00:00:09.32,False
22,0.7037192663271611,0.7650010834564747,log(((x1 + x1) - (((-0.192 + (-0.192 + -0.192)) - ((x0 / x0)**(sin(x0)))) - (cos(sin(x0))**(sin(x0)))))),log(2*x1 + cos(sin(x0))**sin(x0) + 1.576),1001,00:00:09.79,False
23,0.9463466838727967,0.9487617514555867,(x0 - ((x0 - (0.165 + x1)) - cos((0.165 + (x0 - (0.165 + x1)))))),x1 + cos(x0 - x1) + 0.165,1001,00:00:18.88,False
24,0.43669319564776443,0.5117270926956754,cos((sin(((x1 * x1) / x1)) - cos(cos((x1 * x1))))),cos(sin(x1) - cos(cos(x1**2))),1001,00:00:09.58,False
25,0.6311959026657366,0.6336925358643324,log((((cos(cos(x0)) + cos(x0)) * x1) + ((cos(cos(x0)) + cos(x0)) + cos(x0)))),log(x1*(cos(x0) + cos(cos(x0))) + 2*cos(x0) + cos(cos(x0))),1001,00:00:09.31,False
26,0.48502203936935695,0.6742983159129515,cos((cos(cos((x0 - x1))) - x1)),cos(x1 - cos(cos(x0 - x1))),1001,00:00:09.23,False
27,0.5495916840833925,0.5885855815820076,log(((((x1 + 0.977) + 0.977) + 0.977) - cos((x0 + x1)))),log(x1 - cos(x0 + x1) + 2.931),1001,00:00:09.29,False
28,0.49751553803899806,0.666595947008219,cos((sin(sin(x1)) - cos(cos((x1 - x0))))),cos(sin(sin(x1)) - cos(cos(x0 - x1))),1001,00:00:10.01,False
29,0.6949013528303847,0.7101218410404766,log((((((x1 * x1) - -0.706) - -0.706) - -0.706) + (x1 + x1))),log(x1**2 + 2*x1 + 2.118),1001,00:00:09.30,False
